Date,Minutes Watched,Unique Viewers,Average Viewers,Follows,Chatters,Minutes Streamed,Live Views,Max Viewers,Hosts and Raids Viewers (%),Chat Messages,Clips Created,Clip Views
Mon Feb 27 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Feb 28 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Mar 01 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Mar 02 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Mar 03 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Mar 04 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Mar 05 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 06 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Mar 07 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Mar 08 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Mar 09 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Mar 10 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Mar 11 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Mar 12 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 13 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Mar 14 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Mar 15 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Mar 16 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Mar 17 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Mar 18 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Mar 19 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 20 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Mar 21 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Mar 22 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Mar 23 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Mar 24 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Mar 25 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Mar 26 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 27 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Mar 28 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Mar 29 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Mar 30 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Mar 31 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Apr 01 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Apr 02 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 03 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Apr 04 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Apr 05 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Apr 06 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Apr 07 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Apr 08 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Apr 09 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 10 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Apr 11 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Apr 12 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Apr 13 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Apr 14 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Apr 15 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Apr 16 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 17 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Apr 18 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Apr 19 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Apr 20 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Apr 21 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Apr 22 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Apr 23 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 24 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Apr 25 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Apr 26 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Apr 27 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Apr 28 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Apr 29 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Apr 30 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon May 01 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue May 02 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed May 03 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu May 04 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri May 05 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat May 06 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun May 07 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon May 08 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue May 09 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed May 10 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu May 11 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri May 12 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat May 13 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun May 14 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon May 15 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue May 16 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed May 17 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu May 18 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri May 19 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat May 20 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun May 21 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon May 22 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue May 23 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed May 24 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu May 25 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri May 26 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat May 27 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun May 28 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon May 29 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue May 30 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed May 31 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 01 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 02 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 03 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 04 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 05 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 06 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 07 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 08 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 09 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 10 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 11 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 12 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 13 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 14 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 15 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 16 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 17 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 18 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 19 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 20 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 21 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 22 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 23 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 24 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 25 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 26 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 27 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 28 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 29 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 30 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 01 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jul 02 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 03 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 04 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 05 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jul 06 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 07 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 08 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jul 09 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 10 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 11 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 12 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jul 13 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 14 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 15 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jul 16 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 17 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 18 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 19 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jul 20 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 21 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 22 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jul 23 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 24 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 25 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 26 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jul 27 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 28 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 29 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jul 30 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 31 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 01 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Aug 02 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Aug 03 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Aug 04 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Aug 05 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Aug 06 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Aug 07 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 08 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Aug 09 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Aug 10 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Aug 11 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Aug 12 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Aug 13 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Aug 14 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 15 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Aug 16 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Aug 17 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Aug 18 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Aug 19 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Aug 20 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Aug 21 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 22 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Aug 23 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Aug 24 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Aug 25 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Aug 26 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Aug 27 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Aug 28 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 29 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Aug 30 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Aug 31 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Sep 01 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Sep 02 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Sep 03 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 04 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Sep 05 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Sep 06 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Sep 07 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Sep 08 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Sep 09 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Sep 10 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 11 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Sep 12 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Sep 13 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Sep 14 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Sep 15 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Sep 16 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Sep 17 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 18 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Sep 19 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Sep 20 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Sep 21 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Sep 22 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Sep 23 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Sep 24 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 25 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Sep 26 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Sep 27 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Sep 28 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Sep 29 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Sep 30 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Oct 01 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Oct 02 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Oct 03 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Oct 04 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Oct 05 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Oct 06 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Oct 07 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Oct 08 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Oct 09 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Oct 10 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Oct 11 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Oct 12 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Oct 13 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Oct 14 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Oct 15 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Oct 16 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Oct 17 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Oct 18 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Oct 19 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Oct 20 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Oct 21 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Oct 22 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Oct 23 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Oct 24 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Oct 25 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Oct 26 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Oct 27 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Oct 28 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Oct 29 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Oct 30 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Oct 31 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 01 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 02 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 03 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Nov 04 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 05 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 06 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Nov 07 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 08 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 09 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 10 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Nov 11 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 12 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 13 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Nov 14 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 15 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 16 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 17 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Nov 18 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 19 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 20 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Nov 21 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 22 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 23 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Nov 24 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Nov 25 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Nov 26 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 27 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Nov 28 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Nov 29 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Nov 30 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Dec 01 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Dec 02 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Dec 03 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 04 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Dec 05 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Dec 06 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Dec 07 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Dec 08 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Dec 09 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Dec 10 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 11 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Dec 12 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Dec 13 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Dec 14 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Dec 15 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Dec 16 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Dec 17 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 18 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Dec 19 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Dec 20 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Dec 21 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Dec 22 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Dec 23 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Dec 24 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 25 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Dec 26 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Dec 27 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Dec 28 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Dec 29 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Dec 30 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Dec 31 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 01 2018,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 02 2018,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jan 03 2018,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jan 04 2018,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jan 05 2018,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jan 06 2018,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jan 07 2018,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 08 2018,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 09 2018,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jan 10 2018,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jan 11 2018,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jan 12 2018,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jan 13 2018,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jan 14 2018,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 15 2018,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 16 2018,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jan 17 2018,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jan 18 2018,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jan 19 2018,0,0,0,0,0,0,0,0,0,0,0,0
